                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55536,                0.93168,                      1,                0.63398,             0.00023705,             0.00023705,             0.00023705
                      2,                0.20538,                0.91375,                      1,                0.65992,             0.00042802,             0.00042802,             0.00042802
                      3,                0.17541,                0.96157,                      1,                0.60203,             0.00057186,             0.00057186,             0.00057186
                      4,                0.15784,                0.97523,                      1,                0.58521,             0.00050194,             0.00050194,             0.00050194
                      5,                0.13743,                0.95218,                      1,                0.60955,             0.00043126,             0.00043126,             0.00043126
                      6,                0.11339,                0.96157,                      1,                0.59365,             0.00036057,             0.00036057,             0.00036057
                      7,                0.10766,                0.96584,                      1,                0.58662,             0.00028988,             0.00028988,             0.00028988
                      8,                0.09759,                0.96755,                      1,                0.58561,              0.0002192,              0.0002192,              0.0002192
                      9,                0.09107,                0.97694,                      1,                0.58327,             0.00014851,             0.00014851,             0.00014851
                     10,                0.08354,                0.97353,                      1,                0.58716,             7.7826e-05,             7.7826e-05,             7.7826e-05
